loan_id,application_date,income_at_application,debt_ratio_at_application,credit_history_months_at_application,age_at_application,prev_loans_at_application,loan_amount_at_application,occupation_at_application,collection_calls,account_status,days_since_last_payment,defaulted
L-28032,2023-08-22,50525.61,0.328,234,52,0,100000.00,ธุรกิจส่วนตัว,0,ปกติ,22,0
L-28501,2023-08-22,37018.66,0.177,101,59,5,300000.00,พนักงานประจำ,2,ปกติ,10,0
L-28662,2023-08-22,39422.08,0.174,50,65,6,50000.00,ข้าราชการ,0,ปิดบัญชีแล้ว,4,0
L-29574,2023-08-22,9000.00,0.032,149,38,2,50000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,10,0
L-29942,2023-08-22,36567.87,0.131,136,33,4,50000.00,ธุรกิจส่วนตัว,2,ปกติ,13,0
L-30007,2023-08-22,39533.03,0.504,38,53,6,500000.00,ธุรกิจส่วนตัว,0,ปิดบัญชีแล้ว,16,0
L-31435,2023-08-22,47463.26,0.347,5,53,3,150000.00,พนักงานประจำ,2,ปกติ,2,0
L-22198,2023-08-23,29951.40,0.449,9,46,0,300000.00,อาชีพอิสระ,2,ปกติ,23,0
L-22777,2023-08-23,9000.00,0.598,216,30,4,200000.00,ข้าราชการ,1,ปิดบัญชีแล้ว,4,0
L-23817,2023-08-23,25884.17,0.721,135,52,2,300000.00,ข้าราชการ,2,ปกติ,2,0
L-24104,2023-08-23,47245.57,0.422,93,44,0,100000.00,ข้าราชการ,2,ปิดบัญชีแล้ว,24,0
L-25749,2023-08-23,20052.29,0.627,123,58,3,300000.00,ข้าราชการ,1,ปกติ,15,0
L-26688,2023-08-23,25933.71,0.619,55,50,3,300000.00,อาชีพอิสระ,1,ปกติ,1,0
L-26720,2023-08-23,64010.58,0.486,132,21,3,50000.00,อาชีพอิสระ,0,ปกติ,29,0
L-28274,2023-08-23,31940.19,0.608,62,63,1,50000.00,พนักงานประจำ,2,ปกติ,17,0
L-29088,2023-08-23,29272.94,0.398,108,21,4,150000.00,ข้าราชการ,2,ปกติ,23,0
L-29313,2023-08-23,45620.83,0.22,126,27,3,150000.00,ธุรกิจส่วนตัว,2,ปิดบัญชีแล้ว,1,0
L-29837,2023-08-23,30919.12,0.563,80,32,3,150000.00,ธุรกิจส่วนตัว,1,ปกติ,10,0
L-20918,2023-08-24,52718.63,0.147,197,36,4,200000.00,ธุรกิจส่วนตัว,2,ปิดบัญชีแล้ว,20,0
L-22195,2023-08-24,21366.02,0.69,202,30,1,200000.00,พนักงานประจำ,0,ปกติ,7,0
L-23171,2023-08-24,19913.25,0.549,130,58,0,200000.00,อาชีพอิสระ,11,ค้างชำระ,103,1
L-24736,2023-08-24,30457.76,0.217,5,52,4,100000.00,อาชีพอิสระ,1,ปกติ,14,0
L-27073,2023-08-24,52693.92,0.296,200,27,2,150000.00,ธุรกิจส่วนตัว,0,ปิดบัญชีแล้ว,13,0
L-29515,2023-08-24,42472.02,0.41,134,55,0,50000.00,พนักงานประจำ,1,ปกติ,11,0
L-30763,2023-08-24,27467.22,0.127,55,27,6,200000.00,ข้าราชการ,1,ปกติ,22,0
L-31729,2023-08-24,23115.11,0.623,56,28,3,300000.00,ธุรกิจส่วนตัว,0,ปกติ,20,0
L-21160,2023-08-25,47805.17,0.553,200,45,6,50000.00,ธุรกิจส่วนตัว,10,ค้างชำระ,121,1
L-21467,2023-08-25,11562.68,0.104,82,54,1,200000.00,อาชีพอิสระ,2,ปกติ,1,0
L-21684,2023-08-25,41073.67,0.293,4,64,5,200000.00,พนักงานประจำ,0,ปกติ,1,0
L-22303,2023-08-25,35220.36,0.557,140,23,1,500000.00,พนักงานประจำ,0,ปกติ,5,0
L-24069,2023-08-25,23159.65,0.354,169,65,1,150000.00,ธุรกิจส่วนตัว,1,ปกติ,12,0
L-24113,2023-08-25,26468.47,0.27,160,50,0,500000.00,พนักงานประจำ,1,ปกติ,8,0
L-24186,2023-08-25,30169.87,0.595,3,33,4,50000.00,พนักงานประจำ,2,ปกติ,14,0
L-24487,2023-08-25,38445.00,0.137,24,48,0,500000.00,พนักงานประจำ,0,ปกติ,10,0
L-24958,2023-08-25,30572.22,0.634,104,30,2,50000.00,พนักงานประจำ,1,ปิดบัญชีแล้ว,6,0
L-25704,2023-08-25,50316.50,0.564,129,29,0,150000.00,อาชีพอิสระ,2,ปิดบัญชีแล้ว,3,0
L-26557,2023-08-25,30522.26,0.082,112,30,1,300000.00,ข้าราชการ,1,ปกติ,16,0
L-27364,2023-08-25,50535.68,0.219,236,23,4,300000.00,ข้าราชการ,0,ปกติ,11,0
L-27712,2023-08-25,31378.94,0.157,127,30,2,50000.00,ข้าราชการ,0,ปกติ,5,0
L-28137,2023-08-25,42623.05,0.554,72,36,5,200000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,5,0
L-30783,2023-08-25,30646.20,0.529,238,25,1,500000.00,ข้าราชการ,0,ปกติ,23,0
L-30988,2023-08-25,31156.61,0.317,231,36,6,150000.00,อาชีพอิสระ,0,ปกติ,29,0
L-31453,2023-08-25,31781.81,0.421,239,32,3,150000.00,ข้าราชการ,1,ปกติ,4,0
L-31480,2023-08-25,49035.15,0.567,8,29,6,100000.00,ข้าราชการ,0,ปิดบัญชีแล้ว,14,0
L-31619,2023-08-25,29283.36,0.357,214,53,2,300000.00,ข้าราชการ,1,ปกติ,30,0
L-20096,2023-08-26,22583.85,0.255,29,30,5,200000.00,ธุรกิจส่วนตัว,3,ค้างชำระ,81,1
L-20543,2023-08-26,40063.06,0.42,87,48,2,500000.00,พนักงานประจำ,2,ปกติ,18,0
L-22255,2023-08-26,24889.35,0.152,57,40,1,100000.00,อาชีพอิสระ,0,ปกติ,27,0
L-22365,2023-08-26,39464.32,0.289,63,21,5,150000.00,ธุรกิจส่วนตัว,2,ปกติ,25,0
L-22619,2023-08-26,19739.64,0.378,27,51,6,200000.00,อาชีพอิสระ,5,ค้างชำระ,103,1
L-23128,2023-08-26,28921.61,0.334,185,27,2,150000.00,อาชีพอิสระ,0,ปิดบัญชีแล้ว,28,0
L-27473,2023-08-26,24505.88,0.284,93,58,3,150000.00,ธุรกิจส่วนตัว,0,ปกติ,24,0
L-28332,2023-08-26,39685.26,0.588,169,63,0,500000.00,ธุรกิจส่วนตัว,2,ปกติ,19,0
L-28760,2023-08-26,41368.28,0.37,198,59,2,100000.00,พนักงานประจำ,2,ปิดบัญชีแล้ว,1,0
L-28880,2023-08-26,28430.62,0.343,82,23,1,50000.00,อาชีพอิสระ,2,ปิดบัญชีแล้ว,18,0
L-29978,2023-08-26,47291.36,0.606,88,62,3,500000.00,ธุรกิจส่วนตัว,11,ค้างชำระ,179,1
L-21566,2023-08-27,45497.36,0.498,130,64,3,300000.00,ธุรกิจส่วนตัว,1,ปกติ,16,0
L-22192,2023-08-27,46841.55,0.288,237,64,1,150000.00,ข้าราชการ,0,ปกติ,3,0
L-22274,2023-08-27,9661.91,0.292,229,21,1,200000.00,ธุรกิจส่วนตัว,0,ปกติ,23,0
L-23124,2023-08-27,44642.18,0.418,48,60,5,200000.00,พนักงานประจำ,2,ปกติ,19,0
L-23263,2023-08-27,27496.12,0.488,150,60,2,200000.00,พนักงานประจำ,2,ปิดบัญชีแล้ว,20,0
L-23273,2023-08-27,23412.39,0.322,98,62,5,500000.00,ข้าราชการ,1,ปกติ,30,0
L-25082,2023-08-27,30476.48,0.481,71,62,1,100000.00,อาชีพอิสระ,0,ปกติ,29,0
L-26273,2023-08-27,33891.94,0.02,140,65,2,50000.00,อาชีพอิสระ,2,ปกติ,22,0
L-29101,2023-08-27,9000.00,0.263,137,25,6,500000.00,พนักงานประจำ,1,ปิดบัญชีแล้ว,15,0
L-29823,2023-08-27,41544.81,0.385,178,38,4,200000.00,ธุรกิจส่วนตัว,1,ปิดบัญชีแล้ว,29,0
L-30096,2023-08-27,29111.97,0.38,227,58,1,300000.00,ธุรกิจส่วนตัว,0,ปกติ,22,0
L-31525,2023-08-27,44104.83,0.355,126,23,3,300000.00,ธุรกิจส่วนตัว,1,ปกติ,19,0
L-21719,2023-08-28,51373.37,0.152,76,52,5,200000.00,ข้าราชการ,1,ปกติ,0,0
L-22266,2023-08-28,61051.12,0.48,78,22,1,100000.00,พนักงานประจำ,1,ปกติ,14,0
L-22426,2023-08-28,21228.66,0.388,173,55,3,100000.00,พนักงานประจำ,0,ปกติ,25,0
L-23277,2023-08-28,24561.18,0.142,168,27,6,200000.00,อาชีพอิสระ,0,ปกติ,30,0
L-24147,2023-08-28,22286.84,0.273,62,65,3,150000.00,ธุรกิจส่วนตัว,1,ปกติ,27,0
L-24441,2023-08-28,33722.67,0.522,19,26,4,500000.00,พนักงานประจำ,2,ปิดบัญชีแล้ว,14,0
L-27245,2023-08-28,41513.00,0.377,81,50,1,200000.00,ข้าราชการ,0,ปกติ,23,0
L-27909,2023-08-28,34564.21,0.312,74,59,4,500000.00,อาชีพอิสระ,2,ปกติ,21,0
L-30261,2023-08-28,44294.84,0.351,30,35,4,150000.00,พนักงานประจำ,0,ปกติ,6,0
L-20085,2023-08-29,17424.79,0.49,22,23,3,500000.00,พนักงานประจำ,0,ปกติ,2,0
L-20625,2023-08-29,22556.52,0.05,234,64,6,300000.00,พนักงานประจำ,2,ปกติ,13,0
L-20766,2023-08-29,21400.86,0.427,99,41,3,150000.00,พนักงานประจำ,2,ปิดบัญชีแล้ว,23,0
L-21473,2023-08-29,46593.92,0.423,112,60,4,200000.00,ธุรกิจส่วนตัว,0,ปกติ,29,0
L-23396,2023-08-29,49494.62,0.259,201,33,2,300000.00,ข้าราชการ,1,ปกติ,8,0
L-24604,2023-08-29,33752.10,0.706,65,51,6,200000.00,ธุรกิจส่วนตัว,9,ค้างชำระ,68,1
L-28502,2023-08-29,41285.67,0.411,73,30,0,200000.00,ข้าราชการ,2,ปกติ,11,0
L-30392,2023-08-29,56863.28,0.153,82,64,3,150000.00,ข้าราชการ,2,ปกติ,11,0
L-20391,2023-08-30,38078.17,0.08,71,28,3,50000.00,ข้าราชการ,1,ปกติ,0,0
L-20814,2023-08-30,23496.93,0.488,222,53,5,100000.00,พนักงานประจำ,2,ปกติ,3,0
L-21767,2023-08-30,29059.11,0.261,25,34,0,100000.00,ข้าราชการ,2,ปิดบัญชีแล้ว,14,0
L-22851,2023-08-30,35186.79,0.221,218,21,3,150000.00,อาชีพอิสระ,1,ปกติ,18,0
L-23370,2023-08-30,34860.93,0.49,183,54,1,500000.00,อาชีพอิสระ,2,ปกติ,13,0
L-24133,2023-08-30,14896.62,0.264,131,31,2,200000.00,ข้าราชการ,0,ปกติ,25,0
L-24773,2023-08-30,53522.05,0.543,204,58,0,300000.00,ธุรกิจส่วนตัว,2,ปิดบัญชีแล้ว,8,0
L-29057,2023-08-30,44195.14,0.406,94,55,2,300000.00,อาชีพอิสระ,2,ปกติ,29,0
L-31102,2023-08-30,9317.94,0.422,156,37,0,500000.00,ธุรกิจส่วนตัว,0,ปิดบัญชีแล้ว,16,0
L-31733,2023-08-30,22951.47,0.449,205,55,2,100000.00,พนักงานประจำ,1,ปกติ,10,0
L-20123,2023-08-31,9000.00,0.173,137,43,0,100000.00,ข้าราชการ,2,ปกติ,20,0
L-21284,2023-08-31,33438.52,0.032,23,52,2,150000.00,ธุรกิจส่วนตัว,2,ปิดบัญชีแล้ว,22,0
L-21841,2023-08-31,25745.16,0.343,213,34,4,50000.00,พนักงานประจำ,0,ปกติ,3,0
L-24361,2023-08-31,57017.19,0.496,185,29,5,300000.00,ข้าราชการ,0,ปิดบัญชีแล้ว,2,0
L-24504,2023-08-31,50499.05,0.55,109,24,2,100000.00,ข้าราชการ,8,ค้างชำระ,112,1
L-24621,2023-08-31,14742.01,0.124,32,43,2,50000.00,ข้าราชการ,2,ปกติ,18,0
L-25273,2023-08-31,48964.85,0.475,233,32,2,500000.00,ข้าราชการ,1,ปิดบัญชีแล้ว,11,0
L-25311,2023-08-31,12428.36,0.668,21,65,4,300000.00,ธุรกิจส่วนตัว,1,ปกติ,2,0
L-26363,2023-08-31,17290.71,0.483,54,42,3,100000.00,พนักงานประจำ,0,ปกติ,29,0
L-26783,2023-08-31,29199.08,0.545,90,61,2,150000.00,อาชีพอิสระ,1,ปิดบัญชีแล้ว,0,0
L-28249,2023-08-31,37233.10,0.363,135,28,3,200000.00,ธุรกิจส่วนตัว,5,ค้างชำระ,54,1
L-28512,2023-08-31,44908.15,0.205,157,34,1,500000.00,อาชีพอิสระ,0,ปกติ,23,0
L-28984,2023-08-31,32719.69,0.669,111,62,5,200000.00,อาชีพอิสระ,1,ปกติ,25,0
L-29189,2023-08-31,20654.17,0.212,59,58,4,500000.00,ข้าราชการ,10,ค้างชำระ,83,1
L-29268,2023-08-31,51581.92,0.467,18,38,1,150000.00,อาชีพอิสระ,0,ปกติ,6,0
L-30618,2023-08-31,78860.93,0.394,64,38,5,100000.00,ธุรกิจส่วนตัว,0,ปกติ,11,0
L-22743,2023-09-01,32945.41,0.55,220,21,4,50000.00,อาชีพอิสระ,1,ปกติ,16,0
L-23596,2023-09-01,36553.23,0.486,34,33,2,50000.00,ข้าราชการ,2,ปิดบัญชีแล้ว,3,0
L-26791,2023-09-01,62456.61,0.387,240,40,6,50000.00,อาชีพอิสระ,1,ปกติ,1,0
L-29642,2023-09-01,29596.28,0.18,56,30,2,300000.00,อาชีพอิสระ,2,ปกติ,19,0
L-21273,2023-09-02,27419.42,0.492,181,34,3,150000.00,พนักงานประจำ,0,ปกติ,1,0
L-21671,2023-09-02,46661.40,0.779,200,34,0,150000.00,พนักงานประจำ,1,ปกติ,18,0
L-21724,2023-09-02,9000.00,0.457,29,30,2,150000.00,อาชีพอิสระ,2,ปิดบัญชีแล้ว,21,0
L-21803,2023-09-02,25191.30,0.432,24,38,1,300000.00,อาชีพอิสระ,1,ปกติ,3,0
L-21811,2023-09-02,40507.00,0.227,12,53,1,200000.00,ธุรกิจส่วนตัว,1,ปกติ,9,0
L-21919,2023-09-02,60163.57,0.353,64,46,0,150000.00,อาชีพอิสระ,4,ค้างชำระ,74,1
L-22029,2023-09-02,39497.48,0.819,52,42,2,150000.00,พนักงานประจำ,1,ปกติ,27,0
L-23436,2023-09-02,44903.83,0.489,156,29,3,100000.00,พนักงานประจำ,1,ปกติ,20,0
L-23678,2023-09-02,49627.77,0.588,160,50,5,500000.00,อาชีพอิสระ,2,ปกติ,15,0
L-24062,2023-09-02,19776.22,0.386,51,50,3,300000.00,ข้าราชการ,0,ปิดบัญชีแล้ว,18,0
L-25720,2023-09-02,9000.00,0.529,236,47,2,50000.00,พนักงานประจำ,2,ปกติ,23,0
L-26514,2023-09-02,50177.84,0.342,168,25,2,300000.00,ข้าราชการ,1,ปกติ,19,0
L-26728,2023-09-02,26186.34,0.451,200,29,6,150000.00,พนักงานประจำ,1,ปกติ,4,0
L-26838,2023-09-02,40370.82,0.272,127,39,5,100000.00,ข้าราชการ,0,ปกติ,2,0
L-27589,2023-09-02,55641.43,0.332,118,55,4,200000.00,พนักงานประจำ,1,ปกติ,0,0
L-28248,2023-09-02,9000.00,0.272,151,23,2,50000.00,อาชีพอิสระ,13,ค้างชำระ,133,1
L-28563,2023-09-02,44678.39,0.547,111,41,0,500000.00,ข้าราชการ,0,ปกติ,10,0
L-28979,2023-09-02,41279.91,0.321,199,34,3,50000.00,ข้าราชการ,2,ปกติ,14,0
L-29230,2023-09-02,29865.89,0.549,196,40,5,100000.00,ข้าราชการ,0,ปกติ,4,0
L-30043,2023-09-02,35679.63,0.389,167,61,3,50000.00,อาชีพอิสระ,2,ปกติ,16,0
L-30456,2023-09-02,28992.18,0.628,149,50,5,150000.00,พนักงานประจำ,0,ปกติ,21,0
L-30603,2023-09-02,22902.07,0.347,39,62,4,200000.00,พนักงานประจำ,0,ปกติ,20,0
L-31079,2023-09-02,40319.17,0.431,9,61,1,200000.00,พนักงานประจำ,1,ปกติ,22,0
L-21655,2023-09-03,36148.70,0.265,52,39,5,200000.00,ธุรกิจส่วนตัว,1,ปกติ,27,0
L-23111,2023-09-03,27596.10,0.177,230,58,3,100000.00,พนักงานประจำ,0,ปกติ,17,0
L-24345,2023-09-03,51353.31,0.465,147,50,6,300000.00,พนักงานประจำ,1,ปิดบัญชีแล้ว,28,0
L-25848,2023-09-03,34229.90,0.455,140,38,5,500000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,9,0
L-26743,2023-09-03,26907.77,0.452,189,53,0,50000.00,ธุรกิจส่วนตัว,1,ปกติ,30,0
L-27283,2023-09-03,33477.24,0.231,126,43,5,100000.00,ข้าราชการ,0,ปิดบัญชีแล้ว,8,0
L-29716,2023-09-03,56947.45,0.414,212,24,6,200000.00,พนักงานประจำ,0,ปกติ,20,0
L-30941,2023-09-03,43537.75,0.61,77,57,0,300000.00,ข้าราชการ,2,ปกติ,8,0
L-31068,2023-09-03,29598.87,0.077,193,61,1,100000.00,อาชีพอิสระ,1,ปกติ,28,0
L-31109,2023-09-03,37917.48,0.414,148,43,5,100000.00,ข้าราชการ,2,ปกติ,26,0
L-20289,2023-09-04,37902.20,0.156,2,31,2,50000.00,ข้าราชการ,1,ปิดบัญชีแล้ว,17,0
L-23653,2023-09-04,34474.75,0.545,218,21,4,50000.00,พนักงานประจำ,0,ปกติ,20,0
L-25494,2023-09-04,37168.34,0.369,105,29,6,100000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,18,0
L-26137,2023-09-04,29370.18,0.288,105,33,4,500000.00,ธุรกิจส่วนตัว,1,ปกติ,3,0
L-26242,2023-09-04,33856.27,0.348,228,63,3,100000.00,ธุรกิจส่วนตัว,0,ปิดบัญชีแล้ว,20,0
L-27145,2023-09-04,36201.36,0.605,4,61,2,300000.00,ข้าราชการ,1,ปกติ,6,0
L-27254,2023-09-04,49259.15,0.569,39,23,1,500000.00,ข้าราชการ,2,ปิดบัญชีแล้ว,28,0
L-28678,2023-09-04,13946.66,0.379,188,49,1,50000.00,อาชีพอิสระ,0,ปกติ,9,0
L-31524,2023-09-04,43545.69,0.177,12,36,2,500000.00,ข้าราชการ,1,ปกติ,5,0
L-21016,2023-09-05,27146.13,0.684,199,23,1,150000.00,พนักงานประจำ,0,ปกติ,1,0
L-21496,2023-09-05,32318.98,0.02,177,32,6,50000.00,อาชีพอิสระ,1,ปกติ,3,0
L-24106,2023-09-05,47071.61,0.332,64,43,4,100000.00,พนักงานประจำ,0,ปกติ,19,0
L-24228,2023-09-05,41876.83,0.726,205,38,2,100000.00,อาชีพอิสระ,0,ปิดบัญชีแล้ว,18,0
L-24594,2023-09-05,25064.99,0.582,145,54,4,500000.00,พนักงานประจำ,2,ปกติ,19,0
L-25062,2023-09-05,32054.11,0.429,95,51,0,50000.00,ธุรกิจส่วนตัว,1,ปกติ,24,0
L-25882,2023-09-05,22725.99,0.344,109,38,5,200000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,26,0
L-26426,2023-09-05,25683.10,0.273,33,30,2,300000.00,ข้าราชการ,2,ปกติ,25,0
L-28860,2023-09-05,62362.80,0.279,164,50,4,300000.00,อาชีพอิสระ,0,ปกติ,8,0
L-28867,2023-09-05,21991.41,0.492,234,49,2,150000.00,อาชีพอิสระ,2,ปกติ,17,0
L-28931,2023-09-05,45124.08,0.579,195,41,1,100000.00,ข้าราชการ,4,ค้างชำระ,150,1
L-29063,2023-09-05,25487.04,0.253,215,34,4,300000.00,ข้าราชการ,1,ปกติ,30,0
L-31793,2023-09-05,16596.85,0.265,28,37,1,150000.00,อาชีพอิสระ,0,ปิดบัญชีแล้ว,7,0
L-21345,2023-09-06,56694.06,0.579,9,57,6,150000.00,อาชีพอิสระ,2,ปกติ,3,0
L-21402,2023-09-06,40809.40,0.534,109,57,0,200000.00,พนักงานประจำ,0,ปกติ,30,0
L-22321,2023-09-06,53153.65,0.389,19,22,6,100000.00,พนักงานประจำ,1,ปกติ,9,0
L-26993,2023-09-06,29835.71,0.278,158,29,4,200000.00,อาชีพอิสระ,2,ปกติ,13,0
L-28005,2023-09-06,32408.56,0.437,158,28,0,50000.00,ธุรกิจส่วนตัว,1,ปกติ,6,0
L-28552,2023-09-06,9000.00,0.318,55,28,5,50000.00,ธุรกิจส่วนตัว,2,ปกติ,27,0
L-28650,2023-09-06,43714.73,0.599,95,58,3,50000.00,พนักงานประจำ,0,ปกติ,3,0
L-29097,2023-09-06,32801.92,0.127,6,64,5,50000.00,ธุรกิจส่วนตัว,0,ปกติ,0,0
L-30266,2023-09-06,26388.04,0.376,221,56,0,50000.00,ข้าราชการ,1,ปกติ,12,0
L-31826,2023-09-06,35982.00,0.47,95,37,5,50000.00,ข้าราชการ,0,ปกติ,1,0
L-21309,2023-09-07,45937.23,0.544,124,63,4,200000.00,อาชีพอิสระ,1,ปกติ,0,0
L-21359,2023-09-07,23589.52,0.628,24,54,3,300000.00,ข้าราชการ,1,ปกติ,13,0
L-22565,2023-09-07,26996.79,0.353,193,30,6,200000.00,พนักงานประจำ,2,ปกติ,20,0
L-22581,2023-09-07,45072.64,0.219,198,40,4,100000.00,พนักงานประจำ,2,ปกติ,5,0
L-23738,2023-09-07,41070.88,0.33,67,42,6,150000.00,ธุรกิจส่วนตัว,1,ปกติ,15,0
L-25086,2023-09-07,20758.42,0.157,49,55,4,200000.00,พนักงานประจำ,0,ปกติ,12,0
L-26266,2023-09-07,30610.48,0.328,217,45,2,50000.00,ธุรกิจส่วนตัว,1,ปิดบัญชีแล้ว,12,0
L-26351,2023-09-07,31248.86,0.75,73,42,4,500000.00,อาชีพอิสระ,9,ค้างชำระ,145,1
L-27393,2023-09-07,24523.88,0.494,87,21,5,300000.00,อาชีพอิสระ,0,ปกติ,8,0
L-28107,2023-09-07,36158.58,0.227,211,44,1,50000.00,พนักงานประจำ,2,ปกติ,16,0
L-29398,2023-09-07,9000.00,0.309,53,54,2,200000.00,อาชีพอิสระ,0,ปกติ,3,0
L-31673,2023-09-07,56285.94,0.285,226,59,2,300000.00,ข้าราชการ,0,ปิดบัญชีแล้ว,24,0
L-21984,2023-09-08,35435.04,0.472,53,22,1,300000.00,ข้าราชการ,0,ปกติ,30,0
L-22535,2023-09-08,46351.21,0.35,226,29,4,100000.00,อาชีพอิสระ,0,ปกติ,24,0
L-22733,2023-09-08,33779.91,0.081,227,57,6,150000.00,อาชีพอิสระ,0,ปกติ,8,0
L-25369,2023-09-08,31028.56,0.768,95,38,5,50000.00,พนักงานประจำ,0,ปกติ,15,0
L-26487,2023-09-08,35330.47,0.245,81,38,4,150000.00,ธุรกิจส่วนตัว,1,ปกติ,12,0
L-27064,2023-09-08,23234.28,0.385,208,27,2,150000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,0,0
L-28949,2023-09-08,51274.07,0.071,165,32,3,500000.00,อาชีพอิสระ,0,ปกติ,20,0
L-29566,2023-09-08,26880.80,0.078,100,23,0,200000.00,พนักงานประจำ,2,ปิดบัญชีแล้ว,22,0
L-31166,2023-09-08,53468.57,0.412,29,42,0,50000.00,ข้าราชการ,2,ปิดบัญชีแล้ว,24,0
L-31486,2023-09-08,39318.97,0.613,155,22,2,500000.00,อาชีพอิสระ,0,ปกติ,13,0
L-25932,2023-09-09,55065.98,0.282,163,41,6,300000.00,ข้าราชการ,0,ปกติ,7,0
L-25981,2023-09-09,18821.82,0.554,77,51,3,100000.00,ข้าราชการ,2,ปกติ,21,0
L-26105,2023-09-09,9000.00,0.473,131,34,5,200000.00,อาชีพอิสระ,0,ปกติ,9,0
L-27857,2023-09-09,52415.35,0.306,150,26,4,150000.00,พนักงานประจำ,1,ปกติ,12,0
L-28058,2023-09-09,30047.04,0.206,130,60,2,300000.00,อาชีพอิสระ,2,ปิดบัญชีแล้ว,6,0
L-28088,2023-09-09,39844.15,0.6,179,26,6,50000.00,ข้าราชการ,2,ปิดบัญชีแล้ว,28,0
L-28298,2023-09-09,21474.82,0.527,77,63,3,500000.00,อาชีพอิสระ,0,ปกติ,18,0
L-28585,2023-09-09,15914.75,0.524,100,39,5,300000.00,ธุรกิจส่วนตัว,0,ปกติ,23,0
L-29090,2023-09-09,34195.36,0.291,11,35,1,500000.00,อาชีพอิสระ,1,ปกติ,18,0
L-29915,2023-09-09,18122.01,0.079,101,23,2,200000.00,พนักงานประจำ,0,ปกติ,14,0
L-30050,2023-09-09,9305.52,0.572,164,60,3,100000.00,ธุรกิจส่วนตัว,2,ปกติ,9,0
L-30268,2023-09-09,35584.70,0.299,222,59,6,100000.00,ข้าราชการ,0,ปกติ,6,0
L-30769,2023-09-09,22969.39,0.556,57,32,2,200000.00,ธุรกิจส่วนตัว,0,ปกติ,26,0
L-30863,2023-09-09,48065.12,0.704,47,22,6,200000.00,พนักงานประจำ,0,ปกติ,2,0
L-30981,2023-09-09,54801.66,0.397,135,62,0,150000.00,อาชีพอิสระ,2,ปกติ,28,0
L-20298,2023-09-10,46951.46,0.544,225,45,6,300000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,30,0
L-21096,2023-09-10,18143.68,0.645,0,31,6,200000.00,พนักงานประจำ,8,ค้างชำระ,129,1
L-23528,2023-09-10,27348.65,0.193,86,28,1,500000.00,อาชีพอิสระ,1,ปิดบัญชีแล้ว,8,0
L-24179,2023-09-10,22566.94,0.322,215,35,4,50000.00,ข้าราชการ,0,ปกติ,3,0
L-24651,2023-09-10,44828.55,0.609,96,60,3,100000.00,พนักงานประจำ,2,ปิดบัญชีแล้ว,1,0
L-28123,2023-09-10,40654.83,0.234,37,55,2,150000.00,อาชีพอิสระ,2,ปกติ,16,0
L-28201,2023-09-10,21782.32,0.247,35,57,5,500000.00,อาชีพอิสระ,14,ค้างชำระ,151,1
L-28799,2023-09-10,34593.74,0.29,60,34,5,100000.00,พนักงานประจำ,0,ปกติ,20,0
L-28896,2023-09-10,24566.87,0.045,31,52,4,150000.00,ข้าราชการ,1,ปกติ,12,0
L-29329,2023-09-10,34914.46,0.354,214,62,0,50000.00,อาชีพอิสระ,0,ปกติ,1,0
L-29859,2023-09-10,23891.58,0.331,177,62,0,50000.00,พนักงานประจำ,2,ปิดบัญชีแล้ว,15,0
L-30422,2023-09-10,48140.95,0.264,84,41,3,150000.00,ธุรกิจส่วนตัว,1,ปกติ,25,0
L-31045,2023-09-10,32112.45,0.302,163,44,3,50000.00,ข้าราชการ,1,ปิดบัญชีแล้ว,29,0
L-31393,2023-09-10,28923.86,0.446,195,44,2,100000.00,ธุรกิจส่วนตัว,0,ปกติ,8,0
L-31492,2023-09-10,10692.96,0.813,45,44,0,50000.00,ข้าราชการ,2,ปกติ,10,0
L-20203,2023-09-11,42616.15,0.307,12,29,0,200000.00,อาชีพอิสระ,0,ปกติ,26,0
L-21640,2023-09-11,23401.61,0.389,217,36,6,50000.00,พนักงานประจำ,0,ปกติ,25,0
L-21694,2023-09-11,22119.49,0.544,156,32,5,200000.00,พนักงานประจำ,2,ปกติ,21,0
L-22090,2023-09-11,55913.86,0.55,136,28,0,300000.00,ธุรกิจส่วนตัว,2,ปิดบัญชีแล้ว,28,0
L-22423,2023-09-11,42580.72,0.674,109,53,4,50000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,10,0
L-22924,2023-09-11,9000.00,0.419,140,64,5,200000.00,อาชีพอิสระ,0,ปกติ,21,0
L-23645,2023-09-11,30460.20,0.56,125,59,2,300000.00,พนักงานประจำ,0,ปกติ,25,0
L-23952,2023-09-11,25772.74,0.387,167,22,5,100000.00,ธุรกิจส่วนตัว,1,ปกติ,13,0
L-24414,2023-09-11,56444.40,0.578,50,56,5,500000.00,อาชีพอิสระ,0,ปกติ,15,0
L-24641,2023-09-11,27012.00,0.367,178,41,3,300000.00,พนักงานประจำ,2,ปกติ,24,0
L-24916,2023-09-11,9000.00,0.353,21,43,5,50000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,25,0
